local_designation ps1_designation id followup_flag_date
3K3Pmls PS1-13ebn 1102104521305417500 2013-11-23
3K3Pmoy PS1-13ebo 1000158130152332500 2013-11-24
3K3Pmnh PS1-13ebt 1003750440165457700 2013-11-24
3K3Pmnk PS1-13ebr 1003415130154239800 2013-11-24
3K3Pmnf PS1-13ebs 1003420310152425000 2013-11-24
3K3Pmmu PS1-13ecg 1235900150154817900 2013-11-24
3K3Pmmg PS1-13ecc 1234531170124714100 2013-11-24
3K3Pmmv PS1-13ebz 1234153300134123200 2013-11-24
3K3Pmng PS1-13ebq 1003404790095338500 2013-11-24
3K3Pmml PS1-13ece 1234719520133556600 2013-11-24
3K3Pmmt PS1-13eca 1234253540113711300 2013-11-24
3K3Pmnq PS1-13ebp 1002133750112357600 2013-11-24
3K3Pmnd PS1-13ebw 1032732500022153500 2013-11-24
3K3Pmnb PS1-13ebv 1031301650004854000 2013-11-24
